Area Size, Number of Nodes, Number of flows, Packet Per Sec, Speed, Sent Packets, Dropped Packets, Received Packets, Network throughput, End-to-end Delay, Packet delivery ratio, Packet drop ratio, Energy Consumption
500 , 20 , 20 , 200 , 10 , 4237 , 3963 , 264 , 836.371 , 0.0644765 , 0.0623082 , 0.935332 , 103.192
500 , 40 , 20 , 200 , 10 , 4322 , 4117 , 181 , 566.171 , 0.0724458 , 0.0418788 , 0.952568 , 134.261
500 , 60 , 20 , 200 , 10 , 4510 , 4181 , 284 , 1395.4 , 0.00833856 , 0.0629712 , 0.927051 , 111.511
500 , 80 , 20 , 200 , 10 , 4505 , 4341 , 109 , 358.47 , 0.0143727 , 0.0241953 , 0.963596 , 129.671
500 , 100 , 20 , 200 , 10 , 4297 , 4112 , 165 , 478.811 , 0.00889336 , 0.0383989 , 0.956947 , 233.575
