Area Size, Number of Nodes, Number of flows, Packet Per Sec, Speed, Sent Packets, Dropped Packets, Received Packets, Network throughput, End-to-end Delay, Packet delivery ratio, Packet drop ratio, Energy Consumption
500 , 40 , 10 , 200 , 10 , 2159 , 2023 , 131 , 414.155 , 0.01265 , 0.0606762 , 0.937008 , 83.9195
500 , 40 , 20 , 200 , 10 , 4322 , 4117 , 181 , 566.171 , 0.0724458 , 0.0418788 , 0.952568 , 134.261
500 , 40 , 30 , 200 , 10 , 6504 , 6144 , 279 , 826.858 , 0.0148277 , 0.0428967 , 0.944649 , 196.717
500 , 40 , 40 , 200 , 10 , 8979 , 8461 , 436 , 1968.63 , 0.0230577 , 0.0485577 , 0.94231 , 242.133
500 , 40 , 50 , 200 , 10 , 11047 , 10439 , 514 , 2224.39 , 0.0189445 , 0.0465285 , 0.944962 , 338.749
