Area Size, Number of Nodes, Number of flows, Packet Per Sec, Speed, Sent Packets, Dropped Packets, Received Packets, Network throughput, End-to-end Delay, Packet delivery ratio, Packet drop ratio, Energy Consumption
500 , 40 , 20 , 200 , 5 , 4402 , 4195 , 158 , 500.203 , 0.0206366 , 0.0358928 , 0.952976 , 107.331
500 , 40 , 20 , 200 , 10 , 4322 , 4117 , 181 , 566.171 , 0.0724458 , 0.0418788 , 0.952568 , 134.261
500 , 40 , 20 , 200 , 15 , 4354 , 4127 , 192 , 602.037 , 0.0252796 , 0.0440974 , 0.947864 , 102.161
500 , 40 , 20 , 200 , 20 , 4305 , 4100 , 175 , 543.115 , 0.0265213 , 0.0406504 , 0.952381 , 95.8116
500 , 40 , 20 , 200 , 25 , 4415 , 4228 , 153 , 495.72 , 0.0207117 , 0.0346546 , 0.957644 , 176.563
