Area Size, Number of Nodes, Number of flows, Packet Per Sec, Speed, Sent Packets, Dropped Packets, Received Packets, Network throughput, End-to-end Delay, Packet delivery ratio, Packet drop ratio, Energy Consumption
500 , 40 , 20 , 100 , 10 , 4333 , 4126 , 188 , 591.15 , 0.00800742 , 0.043388 , 0.952227 , 137.821
500 , 40 , 20 , 200 , 10 , 4322 , 4117 , 181 , 566.171 , 0.0724458 , 0.0418788 , 0.952568 , 134.261
500 , 40 , 20 , 300 , 10 , 4322 , 4117 , 181 , 566.171 , 0.0724458 , 0.0418788 , 0.952568 , 134.261
500 , 40 , 20 , 400 , 10 , 4322 , 4117 , 181 , 566.171 , 0.0724458 , 0.0418788 , 0.952568 , 134.261
500 , 40 , 20 , 500 , 10 , 4322 , 4117 , 181 , 566.171 , 0.0724458 , 0.0418788 , 0.952568 , 134.261
